trade_date,signal_month,strategy_type,selected_expression,held_contract,front_contract,forward_contract,target_position,effective_leverage,hands,daily_pnl,trade_cost,equity,mm_index,dominant_state,trade_direction,daily_return,cum_return,drawdown
2024-10-14,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,15040.0,0.0,1820428.0,68.46153846153847,利润驱动供给,long_single,0.008330619235311199,0.8204279999999999,-0.04227216434533654
2024-10-15,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-1880.0,0.0,1818548.0,68.46153846153847,利润驱动供给,long_single,-0.0010327241725571756,0.818548,-0.043261233031947954
2024-10-16,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,20210.0,0.0,1838758.0,68.46153846153847,利润驱动供给,long_single,0.011113261789075679,0.8387579999999999,-0.03262874465087451
2024-10-17,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-7755.0,0.0,1831003.0,68.46153846153847,利润驱动供给,long_single,-0.004217520739542624,0.8310029999999999,-0.03670865298314685
2024-10-18,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,5640.0,0.0,1836643.0,68.46153846153847,利润驱动供给,long_single,0.0030802789509356554,0.836643,-0.03374144692331249
2024-10-21,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,12690.0,0.0,1849333.0,68.46153846153847,利润驱动供给,long_single,0.006909344929852956,0.8493329999999999,-0.02706523328868493
2024-10-22,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-9165.0,0.0,1840168.0,68.46153846153847,利润驱动供给,long_single,-0.004955840835587755,0.840168,-0.03188694313591589
2024-10-23,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,11515.0,0.0,1851683.0,68.46153846153847,利润驱动供给,long_single,0.006257580829576392,0.851683,-0.025828897430420605
2024-10-24,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-8225.0,0.0,1843458.0,68.46153846153847,利润驱动供给,long_single,-0.0044419050128990945,0.843458,-0.030156072934345857
2024-10-25,2024-09-01,single_contract,light_rf_single_leg_model,JD2411.DCE,,,1.0,0.5,47.0,-1880.0,0.0,1841578.0,68.46153846153847,利润驱动供给,long_single,-0.0010198225291815355,0.8415779999999999,-0.031145141620957273
